analysis_id	source_analysis_id	source_label	trait_ontology_name	trait_ontology_id	source_file	source_bundle_id	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build
ukb-b-10485	ukb-b-10485	PCT where patients GP was registered: BRACKNELL FOREST PCT			/local-scratch/data/opengwas/igd/ukb-b-10485/ukb-b-10485.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10490	ukb-b-10490	Diagnoses - secondary ICD10: Z03.8 Observation for other suspected diseases and conditions			/local-scratch/data/opengwas/igd/ukb-b-10490/ukb-b-10490.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10505	ukb-b-10505	Qualifications: CSEs or equivalent			/local-scratch/data/opengwas/igd/ukb-b-10505/ukb-b-10505.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	458079				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10537	ukb-b-10537	Non-cancer illness code, self-reported: psoriasis			/local-scratch/data/opengwas/igd/ukb-b-10537/ukb-b-10537.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10546	ukb-b-10546	Oily fish intake			/local-scratch/data/opengwas/igd/ukb-b-10546/ukb-b-10546.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	64949				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10554	ukb-b-10554	Operation code: adenoid surgery / adenoidectomy			/local-scratch/data/opengwas/igd/ukb-b-10554/ukb-b-10554.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462933				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10555	ukb-b-10555	Diagnoses - secondary ICD10: I50.1 Left ventricular failure			/local-scratch/data/opengwas/igd/ukb-b-10555/ukb-b-10555.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	463010				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10559	ukb-b-10559	Methods of admission to hospital (recoded): Emergency admission: A&E			/local-scratch/data/opengwas/igd/ukb-b-10559/ukb-b-10559.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	462624				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10565	ukb-b-10565	Tinned tomato intake			/local-scratch/data/opengwas/igd/ukb-b-10565/ukb-b-10565.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	64949				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-10567	ukb-b-10567	Vitamin and/or mineral supplement use: Zinc			/local-scratch/data/opengwas/igd/ukb-b-10567/ukb-b-10567.vcf.gz					GRCh37							unassigned			unavailable		total	analysis_level	64949				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
