analysis_id	field	value	method	evidence	notes
ukb-b-10857	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=6371;n_controls=455922	
ukb-b-10857	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10859	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=8429;n_controls=454581	
ukb-b-10859	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10872	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=2313;n_controls=460697	
ukb-b-10872	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10873	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1446;n_controls=461564	
ukb-b-10873	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10880	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=4538;n_controls=458472	
ukb-b-10880	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10903	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=3809;n_controls=459124	
ukb-b-10903	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10911	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=7915;n_controls=455095	
ukb-b-10911	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10912	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=56753;n_controls=406180	
ukb-b-10912	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10919	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1552;n_controls=461458	
ukb-b-10919	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-1092	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=2453;n_controls=460557	
ukb-b-1092	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10923	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=31833;n_controls=33116	
ukb-b-10923	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10932	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-10932	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10937	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=12513;n_controls=448023	
ukb-b-10937	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-1096	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-1096	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-10979	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=81433;n_controls=379965	
ukb-b-10979	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-1099	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-1099	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-1100	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=31833;n_controls=424547	
ukb-b-1100	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-11002	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=2504;n_controls=460506	
ukb-b-11002	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-11004	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-11004	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-11010	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=8247;n_controls=451353	
ukb-b-11010	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-11015	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=6305;n_controls=456705	
ukb-b-11015	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-11020	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=5766;n_controls=457244	
ukb-b-11020	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-11025	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=194936;n_controls=50428	
ukb-b-11025	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-11045	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1477;n_controls=461533	
ukb-b-11045	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-11048	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=27761;n_controls=86227	
ukb-b-11048	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-11052	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1972;n_controls=461038	
ukb-b-11052	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-11064	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=3358;n_controls=459652	
ukb-b-11064	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-11065	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1122;n_controls=461888	
ukb-b-11065	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-11075	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=145707;n_controls=315677	
ukb-b-11075	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-11076	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-11076	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-11085	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=252893;n_controls=204654	
ukb-b-11085	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-11113	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-11113	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-11120	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=5657;n_controls=457276	
ukb-b-11120	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-11133	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1702;n_controls=461308	
ukb-b-11133	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-11138	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=15526;n_controls=49423	
ukb-b-11138	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-11141	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-11141	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-11158	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=370230;n_controls=92703	
ukb-b-11158	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-11161	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=13314;n_controls=447799	
ukb-b-11161	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-11182	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-11182	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-11188	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=3070;n_controls=421803	
ukb-b-11188	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-11189	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=1376;n_controls=63573	
ukb-b-11189	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-11207	sample_size_kind	total	opengwas_api_gwasinfo	n_cases=;n_controls=	
ukb-b-11207	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-11209	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=2043;n_controls=460967	
ukb-b-11209	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-11231	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=3509;n_controls=459501	
ukb-b-11231	stored_effect_scale	sd	opengwas_api_gwasinfo		
ukb-b-11241	sample_size_kind	case_control	opengwas_api_gwasinfo	n_cases=2495;n_controls=460438	
ukb-b-11241	stored_effect_scale	sd	opengwas_api_gwasinfo		
