analysis_id	source_analysis_id	status	skip_reason	af_source	ancestry_reference_id	original_sd	original_sd_method	n_variants_considered	n_variants_overlapping	n_variants_excluded_ambiguous	n_variants_excluded_mismatch	n_variants_excluded_missing_af	n_variants_excluded_maf	n_variants_retained	maf_min	maf_max	implied_sd_median	sd_dispersion	sd_notes	estimator_version
GCST90202067	GCST90202067	passed	""	source	""	0.953125813862381	estimated_from_source_maf	10449	10449	0	0	0	2	10447	0.01	0.5	0.953125813862381	0.0604501824927508	median implied SD=0.953, dispersion=0.060, n=10447	effect_scale_validation.R:v1
GCST90202068	GCST90202068	skipped	low_overlap	source	""		unavailable	18	18	0	0	0	0	18	0.01	0.5	0.862250681242972	0.0772468195841463	low_overlap (median implied SD=0.862, dispersion=0.077, n=18)	effect_scale_validation.R:v1
GCST90202069	GCST90202069	passed	""	source	""	0.845569369077581	estimated_from_source_maf	23	23	0	0	0	0	23	0.01	0.5	0.845569369077581	0.0688548008492627	median implied SD=0.846, dispersion=0.069, n=23	effect_scale_validation.R:v1
GCST90202070	GCST90202070	passed	""	source	""	0.959768314455505	estimated_from_source_maf	3020	3020	0	0	0	0	3020	0.01	0.5	0.959768314455505	0.0573644756985412	median implied SD=0.960, dispersion=0.057, n=3020	effect_scale_validation.R:v1
GCST90202071	GCST90202071	passed	""	source	""	0.868129548742598	estimated_from_source_maf	20	20	0	0	0	0	20	0.01	0.5	0.868129548742598	0.0919389278385477	median implied SD=0.868, dispersion=0.092, n=20	effect_scale_validation.R:v1
GCST90202072	GCST90202072	skipped	low_overlap	source	""		unavailable	16	16	0	0	0	0	16	0.01	0.5	0.881989791037299	0.0640263940248001	low_overlap (median implied SD=0.882, dispersion=0.064, n=16)	effect_scale_validation.R:v1
GCST90202073	GCST90202073	passed	""	source	""	0.904162579405211	estimated_from_source_maf	21	21	0	0	0	0	21	0.01	0.5	0.904162579405211	0.0377940876255631	median implied SD=0.904, dispersion=0.038, n=21	effect_scale_validation.R:v1
GCST90202074	GCST90202074	passed	""	source	""	0.976929324277287	estimated_from_source_maf	3475	3475	0	0	0	0	3475	0.01	0.5	0.976929324277287	0.0434146535830671	median implied SD=0.977, dispersion=0.043, n=3475	effect_scale_validation.R:v1
GCST90199621	GCST90199621	passed	""	source	""	0.983713207276219	estimated_from_source_maf	69803	69803	0	0	0	33047	36756	0.01	0.5	0.983713207276219	0.00690737668643575	median implied SD=0.984, dispersion=0.007, n=36756	effect_scale_validation.R:v1
GCST90199622	GCST90199622	passed	""	source	""	0.989603478941087	estimated_from_source_maf	31633	31633	0	0	0	14705	16928	0.01	0.5	0.989603478941087	0.0072977573233486	median implied SD=0.990, dispersion=0.007, n=16928	effect_scale_validation.R:v1
