analysis_id	status	error	attempt	retry_count	source_url	downloaded_bytes	input_rows	retained_rows	retained_fraction	cis_rows	significant_trans_regions	significant_trans_rows	suggestive_leads	output_file	output_bytes	checksum_algorithm	checksum	download_seconds	filter_seconds	total_seconds
GCST90202073	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202073/harmonised/GCST90202073.h.tsv.gz	83278470	4187419	21	5e-06	0	0	0	21	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202073_GCST90202073.filtered.tsv.gz	823	sha256	3cbabfc4fc0726cfb996810133b20d3b466f961ef1acdcd719bbba2b8010d8b4	2	7.6	9.6
GCST90202074	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202074/harmonised/GCST90202074.h.tsv.gz	82985489	4171012	3475	0.000833	0	1	3452	23	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90202074_GCST90202074.filtered.tsv.gz	67690	sha256	250af735297b425fd530e96274f82de0179492053832b688bf0cffee353a39c5	6.5	8.3	14.8
GCST90199621	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199621/harmonised/GCST90199621.h.tsv.gz	404189760	15047375	69803	0.004639	0	5	69696	107	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199621_GCST90199621.filtered.tsv.gz	1747582	sha256	10e30e909c868f029267579073501e28b9ef3883afd41a2bc58e8ab5fe547d45	11.3	46.2	57.5
GCST90199622	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199622/harmonised/GCST90199622.h.tsv.gz	401836690	15015424	31633	0.002107	0	3	31428	205	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199622_GCST90199622.filtered.tsv.gz	790705	sha256	f3cd790e4cb67fd7e4a4b1ae967c1e9b725a318a4f14c0222b1cbb749f1f3a9b	13.6	36.2	49.8
GCST90199623	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199623/harmonised/GCST90199623.h.tsv.gz	396102676	15068638	10046	0.000667	0	1	9965	81	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199623_GCST90199623.filtered.tsv.gz	253933	sha256	92f9458dfd33128fe30ac33f32eb21872890c2898dda1c7e3f590e890c86eb3e	5.1	34	39
GCST90199624	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199624/harmonised/GCST90199624.h.tsv.gz	404262668	15049138	67	4e-06	0	0	0	67	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199624_GCST90199624.filtered.tsv.gz	2400	sha256	893f8af16e7f9d409e5346b0c031af9c79c325d2a0d0fdf20e34868adb9c2876	3.3	35.4	38.7
GCST90199625	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199625/harmonised/GCST90199625.h.tsv.gz	404330887	15049890	96	6e-06	0	0	0	96	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199625_GCST90199625.filtered.tsv.gz	3296	sha256	322e5dd9e169bc78604b698c290ff5afc0db59c4f7dcf2a273998f10c69386eb	3.4	35.5	38.9
GCST90199626	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199626/harmonised/GCST90199626.h.tsv.gz	403634495	15039862	50475	0.003356	0	4	50408	67	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199626_GCST90199626.filtered.tsv.gz	1260588	sha256	72521bf1669e51b0ad1b7a072fe9fe77f594efc2faf01d31f20ea7b68ca8dc6b	24.3	35.4	59.7
GCST90199627	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199627/harmonised/GCST90199627.h.tsv.gz	395729160	14913501	10343	0.000694	0	1	10273	70	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199627_GCST90199627.filtered.tsv.gz	264774	sha256	a94bd6bae7dd18391b04eb974f4d6f357197043987df2fa91f63db4a94bcae8b	8.4	33.6	42
GCST90199628	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199628/harmonised/GCST90199628.h.tsv.gz	404414971	15050803	81	5e-06	0	0	0	81	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-pilot-80/filtered/GCST90199628_GCST90199628.filtered.tsv.gz	2798	sha256	d8f00c99751428cbe5cb758d3f83b5f612dd40f646ec7531529b928586bb2a3c	3.7	32.9	36.6
