analysis_id	status	error	attempt	retry_count	source_url	downloaded_bytes	input_rows	retained_rows	retained_fraction	cis_rows	significant_trans_regions	significant_trans_rows	suggestive_leads	qc_panel_rows	output_file	output_bytes	checksum_algorithm	checksum	download_seconds	filter_seconds	total_seconds
GCST90202260	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202260/harmonised/GCST90202260.h.tsv.gz	87269972	4171012	5712	0.001369	0	0	0	16	5696	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202260_GCST90202260.filtered.tsv.gz	159290	sha256	e37fbc666dcaafccf8038b9ee4e532ccea0af8f99bae175c270373bdbc848db5	4.2	11.5	15.6
GCST90202261	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202261/harmonised/GCST90202261.h.tsv.gz	83161692	4176280	5726	0.001371	0	0	0	13	5713	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202261_GCST90202261.filtered.tsv.gz	159741	sha256	fb53507a75c18ccefba1a9ad825a4c062fc0327858a9d02518e5acac27888f4d	6.2	11.3	17.5
GCST90202262	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202262/harmonised/GCST90202262.h.tsv.gz	83186027	4184887	5734	0.00137	0	0	0	13	5721	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202262_GCST90202262.filtered.tsv.gz	159948	sha256	86cc81c852f7adb0404aeb3bd2bc7efbc2fa6f72b746aa33247e18166fcfeee2	3.6	11.5	15.1
GCST90202263	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202263/harmonised/GCST90202263.h.tsv.gz	87292196	4171012	5722	0.001372	0	0	0	26	5696	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202263_GCST90202263.filtered.tsv.gz	159542	sha256	0f84f34e0c902345517a8d9377d33454956142214fc1b4c4de06cbd50609cda0	5	11.4	16.4
GCST90202264	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202264/harmonised/GCST90202264.h.tsv.gz	87572663	4187419	5748	0.001373	0	0	0	16	5732	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202264_GCST90202264.filtered.tsv.gz	160400	sha256	da5e0dda54f8004762364f415e250711f10f8a5298c297d719da5873188f0272	3.9	10.6	14.5
GCST90202265	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202265/harmonised/GCST90202265.h.tsv.gz	87279939	4171012	5718	0.001371	0	0	0	22	5696	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202265_GCST90202265.filtered.tsv.gz	159516	sha256	e93bc89047118902e00f2f5756eb7cb806f1f4b0f790783b213dbaf96b58c54f	4	11.3	15.3
GCST90202266	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202266/harmonised/GCST90202266.h.tsv.gz	86008168	4211454	9187	0.002181	0	1	3396	16	5780	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202266_GCST90202266.filtered.tsv.gz	223726	sha256	daa936dd66e03b2e286dbee0a8b4040500fc0da99613bab027c90352a462258c	5.5	10.9	16.5
GCST90202267	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202267/harmonised/GCST90202267.h.tsv.gz	87937132	4206691	5772	0.001372	0	0	0	19	5753	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202267_GCST90202267.filtered.tsv.gz	160908	sha256	c8b0f8a9ce2208804ff6e74ba7cc3b42b771380dd1e21835185ad21db3b2a620	5.9	11.3	17.1
GCST90202268	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202268/harmonised/GCST90202268.h.tsv.gz	80770498	4083835	5572	0.001364	0	0	0	19	5553	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202268_GCST90202268.filtered.tsv.gz	155857	sha256	8b085311d8e5e189f1612753a495a402acf4e5f658b740ba581a352e4552e982	5.4	10.7	16.1
GCST90202269	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202269/harmonised/GCST90202269.h.tsv.gz	82871712	4164763	5694	0.001367	0	0	0	22	5672	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202269_GCST90202269.filtered.tsv.gz	157763	sha256	e6441f4202cec019a1c067792d72e59fadbceef7d5ba3b7c7736ff6b99226f40	5.9	10.5	16.4
GCST90202270	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202270/harmonised/GCST90202270.h.tsv.gz	80890092	4151882	5679	0.001368	0	0	0	20	5659	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202270_GCST90202270.filtered.tsv.gz	158054	sha256	ce8532058be50604a2c37e4d8d07dec17a62acd1968c50bbb61b6d0e7106b898	6.7	11	17.7
GCST90202271	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202271/harmonised/GCST90202271.h.tsv.gz	82996997	4171012	5711	0.001369	0	0	0	15	5696	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202271_GCST90202271.filtered.tsv.gz	159359	sha256	e99916004b4cbdb03babc1a8db6f6e0b8e414935a7c20e52def3018ae0326dcc	5.3	11	16.3
GCST90202272	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202272/harmonised/GCST90202272.h.tsv.gz	87295153	4171012	5728	0.001373	0	0	0	32	5696	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202272_GCST90202272.filtered.tsv.gz	159752	sha256	11310c060f273c94b284c103261754d9c338e00e21b8a9e9b7c213a20c3abed7	5.4	11.9	17.3
GCST90202273	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202273/harmonised/GCST90202273.h.tsv.gz	87596829	4187377	10899	0.002603	0	2	5168	11	5727	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202273_GCST90202273.filtered.tsv.gz	253889	sha256	eddec85f6686fb4b76ab804195945d6000ffe1304981c58a696e35178ab59522	5.4	10.8	16.2
GCST90202274	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202274/harmonised/GCST90202274.h.tsv.gz	83125885	4176280	5727	0.001371	0	0	0	14	5713	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202274_GCST90202274.filtered.tsv.gz	159809	sha256	b14530b250c7ffe4ef94ca7cec8bcb5dee7ba96060fc0b3a0bec0f0616ccb176	5.4	10.8	16.2
GCST90202275	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202275/harmonised/GCST90202275.h.tsv.gz	83002916	4171012	5711	0.001369	0	0	0	15	5696	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202275_GCST90202275.filtered.tsv.gz	159175	sha256	dd75b99315a750d975d8eb5f97e3b2ab3278be9e4f4a1b45aca5f42b46403d5f	7.3	11.4	18.7
GCST90202276	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202276/harmonised/GCST90202276.h.tsv.gz	83255968	4189154	5735	0.001369	0	0	0	12	5723	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202276_GCST90202276.filtered.tsv.gz	159918	sha256	f61ca8cc2c140587d93d438d37ad4b85c66432b3961f7c6fac455677b372d045	7.7	11.4	19.1
GCST90202277	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202277/harmonised/GCST90202277.h.tsv.gz	83786726	4080432	5574	0.001366	0	0	0	22	5552	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202277_GCST90202277.filtered.tsv.gz	155463	sha256	09b83e12021f2f96bd64bd0707c46903fce6eae757f566320e7ce52ac9b71c6c	8.4	10.3	18.7
GCST90202278	ok	""	1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90202001-GCST90203000/GCST90202278/harmonised/GCST90202278.h.tsv.gz	87273703	4171012	5704	0.001368	0	0	0	8	5696	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-east-asian/filtered/GCST90202278_GCST90202278.filtered.tsv.gz	159054	sha256	ed92cda8ba83c0ee95848b426446819bb008d643dbc6a83502d312286c4f3a60	8.1	10.9	19
