analysis_id	source_analysis_id	status	skip_reason	af_source	ancestry_reference_id	original_sd	original_sd_method	n_variants_considered	n_variants_overlapping	n_variants_excluded_ambiguous	n_variants_excluded_mismatch	n_variants_excluded_missing_af	n_variants_excluded_maf	n_variants_retained	maf_min	maf_max	implied_sd_median	sd_dispersion	sd_notes	estimator_version
GCST90240183	GCST90240183	passed	""	reference	ukb-hg38-eur-af		declared_standardised	7405	6742	909	297	0	499	5037	0.01	0.5	1.00766550261444	0.0252220500581362	median implied SD=1.008, dispersion=0.025, n=5037	effect_scale_validation.R:v1
GCST90240184	GCST90240184	passed	""	reference	ukb-hg38-eur-af		declared_standardised	18543	16118	2206	603	0	894	12415	0.01	0.5	1.00765786562698	0.0224777703005168	median implied SD=1.008, dispersion=0.022, n=12415	effect_scale_validation.R:v1
GCST90240185	GCST90240185	passed	""	reference	ukb-hg38-eur-af		declared_standardised	19602	17099	2475	700	0	1020	12904	0.01	0.5	1.00778364527279	0.0231999976656341	median implied SD=1.008, dispersion=0.023, n=12904	effect_scale_validation.R:v1
GCST90240186	GCST90240186	passed	""	reference	ukb-hg38-eur-af		declared_standardised	25151	22124	3310	857	0	1456	16501	0.01	0.5	1.01035861131239	0.0231915752424669	median implied SD=1.010, dispersion=0.023, n=16501	effect_scale_validation.R:v1
GCST90240187	GCST90240187	passed	""	reference	ukb-hg38-eur-af		declared_standardised	20652	18046	2948	709	0	1060	13329	0.01	0.5	1.00982878493985	0.022224862979996	median implied SD=1.010, dispersion=0.022, n=13329	effect_scale_validation.R:v1
GCST90240188	GCST90240188	passed	""	reference	ukb-hg38-eur-af		declared_standardised	13954	12907	2367	457	0	1031	9052	0.01	0.5	1.00796909071025	0.021519431999922	median implied SD=1.008, dispersion=0.022, n=9052	effect_scale_validation.R:v1
GCST90240189	GCST90240189	passed	""	reference	ukb-hg38-eur-af		declared_standardised	9416	8097	1036	320	0	517	6224	0.01	0.5	1.01009252524674	0.0223499128810954	median implied SD=1.010, dispersion=0.022, n=6224	effect_scale_validation.R:v1
GCST90240190	GCST90240190	passed	""	reference	ukb-hg38-eur-af		declared_standardised	21893	20057	3815	773	0	1140	14329	0.01	0.5	1.00868280042294	0.0189326099597704	median implied SD=1.009, dispersion=0.019, n=14329	effect_scale_validation.R:v1
GCST90240191	GCST90240191	passed	""	reference	ukb-hg38-eur-af		declared_standardised	7949	6277	878	274	0	275	4850	0.01	0.5	1.0073935148076	0.0281772691343666	median implied SD=1.007, dispersion=0.028, n=4850	effect_scale_validation.R:v1
GCST90240192	GCST90240192	passed	""	reference	ukb-hg38-eur-af		declared_standardised	4865	4364	575	177	0	336	3276	0.01	0.5	1.00251331921348	0.0205874297159704	median implied SD=1.003, dispersion=0.021, n=3276	effect_scale_validation.R:v1
GCST90240193	GCST90240193	passed	""	reference	ukb-hg38-eur-af		declared_standardised	6803	5923	765	198	0	346	4614	0.01	0.5	1.0052834386252	0.0212874331495947	median implied SD=1.005, dispersion=0.021, n=4614	effect_scale_validation.R:v1
GCST90240194	GCST90240194	passed	""	reference	ukb-hg38-eur-af		declared_standardised	24653	21180	2973	781	0	1307	16119	0.01	0.5	1.0096341719463	0.0244695333990298	median implied SD=1.010, dispersion=0.024, n=16119	effect_scale_validation.R:v1
GCST90240195	GCST90240195	passed	""	reference	ukb-hg38-eur-af		declared_standardised	18640	17073	2345	718	0	1545	12465	0.01	0.5	1.00810858503557	0.0196508300938313	median implied SD=1.008, dispersion=0.020, n=12465	effect_scale_validation.R:v1
GCST90240196	GCST90240196	passed	""	reference	ukb-hg38-eur-af		declared_standardised	25999	23659	3136	1041	0	1581	17901	0.01	0.5	1.00391260783956	0.0225204612900227	median implied SD=1.004, dispersion=0.023, n=17901	effect_scale_validation.R:v1
GCST90240197	GCST90240197	passed	""	reference	ukb-hg38-eur-af		declared_standardised	21460	19359	2778	771	0	1398	14412	0.01	0.5	1.00543822389969	0.0200251393119546	median implied SD=1.005, dispersion=0.020, n=14412	effect_scale_validation.R:v1
GCST90240198	GCST90240198	passed	""	reference	ukb-hg38-eur-af		declared_standardised	8908	8122	1055	339	0	685	6043	0.01	0.5	1.00742913917554	0.0231510870406755	median implied SD=1.007, dispersion=0.023, n=6043	effect_scale_validation.R:v1
GCST90240199	GCST90240199	passed	""	reference	ukb-hg38-eur-af		declared_standardised	14759	13262	1810	556	0	1092	9804	0.01	0.5	1.00680272833813	0.0173277885204394	median implied SD=1.007, dispersion=0.017, n=9804	effect_scale_validation.R:v1
GCST90240200	GCST90240200	passed	""	reference	ukb-hg38-eur-af		declared_standardised	5325	4832	609	271	0	479	3473	0.01	0.5	1.01024336483007	0.0232701013968351	median implied SD=1.010, dispersion=0.023, n=3473	effect_scale_validation.R:v1
GCST90240201	GCST90240201	passed	""	reference	ukb-hg38-eur-af		declared_standardised	25525	23449	3091	1004	0	1371	17983	0.01	0.5	1.00593840436041	0.0196508570979966	median implied SD=1.006, dispersion=0.020, n=17983	effect_scale_validation.R:v1
GCST90240202	GCST90240202	passed	""	reference	ukb-hg38-eur-af		declared_standardised	8096	7442	1071	307	0	491	5573	0.01	0.5	1.00644742327494	0.021753070285652	median implied SD=1.006, dispersion=0.022, n=5573	effect_scale_validation.R:v1
GCST90240203	GCST90240203	passed	""	reference	ukb-hg38-eur-af		declared_standardised	29642	26813	3784	1012	0	1917	20100	0.01	0.5	1.00752084577808	0.0213568950370252	median implied SD=1.008, dispersion=0.021, n=20100	effect_scale_validation.R:v1
GCST90240204	GCST90240204	passed	""	reference	ukb-hg38-eur-af		declared_standardised	17157	15726	2255	671	0	925	11875	0.01	0.5	1.00502275121799	0.0223810764002898	median implied SD=1.005, dispersion=0.022, n=11875	effect_scale_validation.R:v1
GCST90240205	GCST90240205	passed	""	reference	ukb-hg38-eur-af		declared_standardised	15920	13910	1846	543	0	904	10617	0.01	0.5	1.00844677334744	0.020550072139624	median implied SD=1.008, dispersion=0.021, n=10617	effect_scale_validation.R:v1
GCST90240206	GCST90240206	passed	""	reference	ukb-hg38-eur-af		declared_standardised	25906	22701	3531	902	0	1546	16722	0.01	0.5	1.00930640664557	0.0235839508902945	median implied SD=1.009, dispersion=0.024, n=16722	effect_scale_validation.R:v1
GCST90240207	GCST90240207	passed	""	reference	ukb-hg38-eur-af		declared_standardised	15049	12785	1857	497	0	681	9750	0.01	0.5	1.00751379537383	0.0227195797069	median implied SD=1.008, dispersion=0.023, n=9750	effect_scale_validation.R:v1
GCST90240208	GCST90240208	passed	""	reference	ukb-hg38-eur-af		declared_standardised	17700	15250	2135	588	0	879	11648	0.01	0.5	1.00893271292679	0.0235259475045536	median implied SD=1.009, dispersion=0.024, n=11648	effect_scale_validation.R:v1
GCST90240209	GCST90240209	passed	""	reference	ukb-hg38-eur-af		declared_standardised	17964	15383	2166	602	0	925	11690	0.01	0.5	1.00995194723539	0.0239449616723543	median implied SD=1.010, dispersion=0.024, n=11690	effect_scale_validation.R:v1
GCST90240210	GCST90240210	passed	""	reference	ukb-hg38-eur-af		declared_standardised	21641	19571	2794	874	0	1388	14515	0.01	0.5	1.00642525138782	0.0201678929728189	median implied SD=1.006, dispersion=0.020, n=14515	effect_scale_validation.R:v1
GCST90240211	GCST90240211	passed	""	reference	ukb-hg38-eur-af		declared_standardised	23503	21350	3025	985	0	1613	15727	0.01	0.5	1.00669144291794	0.020525248568513	median implied SD=1.007, dispersion=0.021, n=15727	effect_scale_validation.R:v1
GCST90240212	GCST90240212	passed	""	reference	ukb-hg38-eur-af		declared_standardised	15845	13544	1944	543	0	872	10185	0.01	0.5	1.00830690420819	0.022951347448163	median implied SD=1.008, dispersion=0.023, n=10185	effect_scale_validation.R:v1
GCST90240213	GCST90240213	passed	""	reference	ukb-hg38-eur-af		declared_standardised	51131	45543	6369	1910	0	2765	34499	0.01	0.5	1.0077681010628	0.0216873777189902	median implied SD=1.008, dispersion=0.022, n=34499	effect_scale_validation.R:v1
GCST90240214	GCST90240214	passed	""	reference	ukb-hg38-eur-af		declared_standardised	26230	23846	3752	1049	0	1650	17395	0.01	0.5	1.0049647087405	0.021094198522448	median implied SD=1.005, dispersion=0.021, n=17395	effect_scale_validation.R:v1
GCST90240215	GCST90240215	passed	""	reference	ukb-hg38-eur-af		declared_standardised	98283	77682	10663	3384	0	5483	58152	0.01	0.5	1.00389875714266	0.019337522854639	median implied SD=1.004, dispersion=0.019, n=58152	effect_scale_validation.R:v1
GCST90240216	GCST90240216	passed	""	reference	ukb-hg38-eur-af		declared_standardised	7023	6406	1043	217	0	482	4664	0.01	0.5	1.00737876120619	0.0193536623209529	median implied SD=1.007, dispersion=0.019, n=4664	effect_scale_validation.R:v1
GCST90240217	GCST90240217	passed	""	reference	ukb-hg38-eur-af		declared_standardised	13544	12226	1783	558	0	1087	8798	0.01	0.5	1.00703294691894	0.0237345644137858	median implied SD=1.007, dispersion=0.024, n=8798	effect_scale_validation.R:v1
GCST90240218	GCST90240218	passed	""	reference	ukb-hg38-eur-af		declared_standardised	18102	16117	2206	663	0	1368	11880	0.01	0.5	1.00379847494299	0.0203117002647636	median implied SD=1.004, dispersion=0.020, n=11880	effect_scale_validation.R:v1
