analysis_id	status	error	attempt	retry_count	source_url	downloaded_bytes	input_rows	retained_rows	retained_fraction	cis_rows	significant_trans_regions	significant_trans_rows	suggestive_leads	output_file	output_bytes	checksum_algorithm	checksum	download_seconds	filter_seconds	total_seconds
GCST90240209	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240209/harmonised/GCST90240209.h.tsv.gz	305347702	10042828	17964	0.001789	7228	1	10696	40	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/GGA3_GCST90240209.filtered.tsv.gz	294539	sha256	c6b437702c9528fea7f8302fc87aa66df1dcd3746a0ad7b4dfa03c1ed97b37d8	9.8	27.5	37.4
GCST90240210	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240210/harmonised/GCST90240210.h.tsv.gz	305405956	10042828	21641	0.002155	6996	2	14597	48	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/ARL1_GCST90240210.filtered.tsv.gz	357288	sha256	f228ca7b6c41724977e4f2c7550678fdcfda8de0749a2df489c50c863a0aa8b5	10	23.7	33.7
GCST90240211	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240211/harmonised/GCST90240211.h.tsv.gz	305396218	10042828	23503	0.00234	7021	2	16449	33	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/ARL11_GCST90240211.filtered.tsv.gz	386705	sha256	c79924b40ae6f5f6eb9c06d20fac1935304ff8d01a45a75f17154fdf4f360461	10.1	24.3	34.4
GCST90240212	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240212/harmonised/GCST90240212.h.tsv.gz	305417589	10042828	15845	0.001578	5096	1	10708	41	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/ARL3_GCST90240212.filtered.tsv.gz	261125	sha256	8cd6ce7385d7763eb1974ccabdca2f6c19b88eceac745c132fecdc3148b73ba3	10	23.4	33.4
GCST90240213	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240213/harmonised/GCST90240213.h.tsv.gz	305392361	10042828	51131	0.005091	8558	5	42538	35	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/ADM_GCST90240213.filtered.tsv.gz	834983	sha256	e455292c63d84060f75c105f95d32b0608a85e0d44603fe36ff275575fba207f	45.3	27.4	72.7
GCST90240214	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240214/harmonised/GCST90240214.h.tsv.gz	305298838	10042828	26230	0.002612	12144	2	14045	41	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/SCIN_GCST90240214.filtered.tsv.gz	426047	sha256	ed361c067c23ed65709bdad53ab29d8df9b3970fe763be06bef82081fc2bcca7	10.2	23.4	33.6
GCST90240215	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240215/harmonised/GCST90240215.h.tsv.gz	305547995	10042828	98283	0.009786	33472	7	76479	35	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/AGER_GCST90240215.filtered.tsv.gz	1538913	sha256	99785beb160d60869609eb646329151ce2a654c304739f604c0540ff490f1b6b	10.1	26.7	36.8
GCST90240216	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240216/harmonised/GCST90240216.h.tsv.gz	305337238	10042828	7023	0.000699	6981	0	0	42	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/ACAN_GCST90240216.filtered.tsv.gz	116006	sha256	b7ee4ab39208152299d54cdfd01f4414f6b2c945436952a30a63d2300bab2167	10	24.4	34.4
GCST90240217	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240217/harmonised/GCST90240217.h.tsv.gz	305410754	10042828	13544	0.001349	4344	1	9156	44	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/AGRP_GCST90240217.filtered.tsv.gz	224736	sha256	d2c7f32d6ba92f76bb3050b204756d2494217ea5fe572c4cd54bd1c7293241c8	10	23.7	33.7
GCST90240218	ok		1	0	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90240001-GCST90241000/GCST90240218/harmonised/GCST90240218.h.tsv.gz	305355296	10042828	18102	0.001802	4514	2	17884	37	/data/opengwasdb/pqtl-interval-2018/releases/2018-sun-pilot-100/filtered/ASIP_GCST90240218.filtered.tsv.gz	303185	sha256	668e0f92a9ab89f136ddc652097f8754dbcf4789ca44ed93c7b286b7be18bbb4	10.1	23.8	33.9
